Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products/22343,2,0,25,25.53275949981071,24.932158999945386,26.13335999967603,126.0,0.007046482159319763,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/223825,2,0,25,24.845581499903346,24.603566999758186,25.087596000048507,127.0,0.007046482159319763,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/223911,5,0,28,27.221260799888114,19.87376499982929,35.77321700004177,129.0,0.017616205398299407,0.0,28,28,28,36,36,36,36,36,36,36,36
GET,/products/224349,1,0,24.588477999714087,24.588477999714087,24.588477999714087,24.588477999714087,127.0,0.0035232410796598814,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/225700,1,0,29.188492999765003,29.188492999765003,29.188492999765003,29.188492999765003,129.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/225725,1,0,28.07652000001326,28.07652000001326,28.07652000001326,28.07652000001326,118.0,0.0035232410796598814,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/22643,1,0,26.279271000021254,26.279271000021254,26.279271000021254,26.279271000021254,117.0,0.0035232410796598814,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/228071,1,0,26.795063999998092,26.795063999998092,26.795063999998092,26.795063999998092,129.0,0.0035232410796598814,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/228303,2,0,27.287304000083168,28.345751000074415,27.287304000083168,29.404198000065662,127.0,0.007046482159319763,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/228374,5,0,28,30.160686200088094,25.09906500017678,40.30592800017985,119.0,0.017616205398299407,0.0,28,31,31,40,40,40,40,40,40,40,40
GET,/products/228699,3,0,27,28.008346666562527,23.80710099987482,33.12955699993836,119.0,0.010569723238979645,0.0,27,27,33,33,33,33,33,33,33,33,33
GET,/products/229752,1,0,25.57803600029729,25.57803600029729,25.57803600029729,25.57803600029729,119.0,0.0035232410796598814,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/230495,1,0,24.136052999892854,24.136052999892854,24.136052999892854,24.136052999892854,128.0,0.0035232410796598814,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/231211,2,0,27.722968000034598,27.623912000080963,27.52485600012733,27.722968000034598,129.0,0.007046482159319763,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/233290,2,0,28.427317000023322,32.519567000008465,28.427317000023322,36.61181699999361,118.0,0.007046482159319763,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/products/235094,1,0,23.39398699996309,23.39398699996309,23.39398699996309,23.39398699996309,127.0,0.0035232410796598814,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/products/235387,2,0,22,22.75937049989807,21.662382999693364,23.856358000102773,129.0,0.007046482159319763,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/236860,1,0,37.781026999709866,37.781026999709866,37.781026999709866,37.781026999709866,118.0,0.0035232410796598814,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/products/236908,1,0,39.571030999923096,39.571030999923096,39.571030999923096,39.571030999923096,128.0,0.0035232410796598814,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/products/240566,1,0,28.762272000221856,28.762272000221856,28.762272000221856,28.762272000221856,118.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/240637,2,0,25,26.191578500174728,24.899806000121316,27.48335100022814,129.0,0.007046482159319763,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/241652,2,0,26.3625590000629,27.578770000218356,26.3625590000629,28.79498100037381,118.0,0.007046482159319763,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/243390,4,0,25,25.996696499987593,24.99899000008554,28.261809000014182,129.0,0.014092964318639526,0.0,25,25,28,28,28,28,28,28,28,28,28
GET,/products/244328,1,0,28.960464999727265,28.960464999727265,28.960464999727265,28.960464999727265,129.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/245916,1,0,27.143840000007913,27.143840000007913,27.143840000007913,27.143840000007913,128.0,0.0035232410796598814,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/246165,1,0,29.691437000110454,29.691437000110454,29.691437000110454,29.691437000110454,124.0,0.0035232410796598814,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/246510,1,0,26.499323999814806,26.499323999814806,26.499323999814806,26.499323999814806,118.0,0.0035232410796598814,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/250174,1,0,34.996515000329964,34.996515000329964,34.996515000329964,34.996515000329964,119.0,0.0035232410796598814,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/products/25034,1,0,40.52047400000447,40.52047400000447,40.52047400000447,40.52047400000447,128.0,0.0035232410796598814,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/products/250344,1,0,27.882181999984823,27.882181999984823,27.882181999984823,27.882181999984823,119.0,0.0035232410796598814,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/250355,1,0,24.240950000148587,24.240950000148587,24.240950000148587,24.240950000148587,123.0,0.0035232410796598814,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/251416,1,0,28.762729999925796,28.762729999925796,28.762729999925796,28.762729999925796,118.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/253396,2,0,29,35.906085499846085,28.567006999765,43.24516399992717,118.0,0.007046482159319763,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/products/255708,1,0,27.442424000128085,27.442424000128085,27.442424000128085,27.442424000128085,118.0,0.0035232410796598814,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/256088,1,0,22.92289700017136,22.92289700017136,22.92289700017136,22.92289700017136,124.0,0.0035232410796598814,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/products/256130,2,0,22.249026999816124,24.153861999820947,22.249026999816124,26.05869699982577,117.0,0.007046482159319763,0.0,26,26,26,26,26,26,26,26,26,26,26
